classification,school,address,phone,website,cre-url,grade,type,programs,about-1,about-2,about-3,snippet_name,school_name,cre-url,cre_markup
public,Cecil Swanson School,"4820 Rundlewood Dr NE Calgary, AB T1Y 5V9",403-777-6690,http://school.cbe.ab.ca/school/cecilswanson,,K to 6,Elementary,Regular,<p>Cecil Swanson School in the Rundle community serves over 400 students in Kindergarten to Grade 6. Nearly 66% of the students here are enrolled in the English as a second language program and rougly 21% are students with special learning needs.</p>,,,public-cecil-swanson-school,cecil-swanson-school,/uploads/agent-1/optimized-images/school-logos/public/cecil-swanson-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Cecil Swanson School</h3> <p>4820 Rundlewood Dr NE Calgary, AB T1Y 5V9</p><p><strong>Phone Number:</strong> 403-777-6690</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/cecilswanson' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/cecil-swanson-school.webp' alt='Cecil Swanson School Logo' width='80' height='80' title='Visit Cecil Swanson School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Cecil Swanson School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Cecil Swanson School</h4><p>Cecil Swanson School in the Rundle community serves over 400 students in Kindergarten to Grade 6. Nearly 66% of the students here are enrolled in the English as a second language program and rougly 21% are students with special learning needs.</p></div></div>"
public,Hugh A. Bennett School,"40 Saddlelake Way NE Calgary, AB T3J 0V1",403-817-3560,http://school.cbe.ab.ca/school/hughabennett,, K to 4,Elementary,Regular,"<p>Located in the community of Saddle Ridge, Hugh A. Bennett accepts learners from Kindergarten to Grade Four. The school inaugrated its state of the art facility in December 2016.</p>",,,public-hugh-a-bennett-school,hugh-a-bennett-school,/uploads/agent-1/optimized-images/school-logos/public/hugh-a-bennett-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Hugh A. Bennett School</h3> <p>40 Saddlelake Way NE Calgary, AB T3J 0V1</p><p><strong>Phone Number:</strong> 403-817-3560</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/hughabennett' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/hugh-a-bennett-school.webp' alt='Hugh A. Bennett School Logo' width='80' height='80' title='Visit Hugh A. Bennett School website.'> </a> <div> <p><strong>Grades:</strong>  K to 4</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Hugh A. Bennett School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Hugh A. Bennett School</h4><p>Located in the community of Saddle Ridge, Hugh A. Bennett accepts learners from Kindergarten to Grade Four. The school inaugrated its state of the art facility in December 2016.</p></div></div>"
public,Saddle Ridge School,"368 Saddlecrest BV NE Calgary, AB T3J 5L6",403-777-6249,http://school.cbe.ab.ca/school/saddleridge/,, K to 4,Elementary,Regular,"<p>Operational in the community of Saddle Ridge, the Saddle Ridge School is committed to creating a unique learning environment where the students are actively exposed to the digital technology and high level thinking of 21st century learning.</p>",,,public-saddle-ridge-school,saddle-ridge-school,/uploads/agent-1/optimized-images/school-logos/public/saddle-ridge-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Saddle Ridge School</h3> <p>368 Saddlecrest BV NE Calgary, AB T3J 5L6</p><p><strong>Phone Number:</strong> 403-777-6249</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/saddleridge/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/saddle-ridge-school.webp' alt='Saddle Ridge School Logo' width='80' height='80' title='Visit Saddle Ridge School website.'> </a> <div> <p><strong>Grades:</strong>  K to 4</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Saddle Ridge School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Saddle Ridge School</h4><p>Operational in the community of Saddle Ridge, the Saddle Ridge School is committed to creating a unique learning environment where the students are actively exposed to the digital technology and high level thinking of 21st century learning.</p></div></div>"
public,Peter Lougheed School,"148 Saddletree Close NE Calgary, AB T3J 5J1",403-817-3508,http://school.cbe.ab.ca/school/peterlougheed,,5 to 9,Middle,Regular,"<p>Situated in the Saddleridge community, Peter Lougheed School opened its doors in September 2016. The school accepts Grade 5 through 9 middle school students from the community of Saddleridge.</p>",,,public-peter-lougheed-school,peter-lougheed-school,/uploads/agent-1/optimized-images/school-logos/public/peter-lougheed-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Peter Lougheed School</h3> <p>148 Saddletree Close NE Calgary, AB T3J 5J1</p><p><strong>Phone Number:</strong> 403-817-3508</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/peterlougheed' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/peter-lougheed-school.webp' alt='Peter Lougheed School Logo' width='80' height='80' title='Visit Peter Lougheed School website.'> </a> <div> <p><strong>Grades:</strong> 5 to 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Peter Lougheed School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Peter Lougheed School</h4><p>Situated in the Saddleridge community, Peter Lougheed School opened its doors in September 2016. The school accepts Grade 5 through 9 middle school students from the community of Saddleridge.</p></div></div>"
public,Annie Foote School,"6320 Temple Dr NE Calgary, AB T1Y 5V5",403-777-6680,http://school.cbe.ab.ca/school/anniefoote,, K to 6,Elementary,Regular,"<p>Annie Foote School is a kindergarten to grade six school. The student population is very diverse - 67% of our students are English Language Learners coming from homes where 35 different languages are spoken. For many of our students, English is their third or fourth language. Students who attend our School come to us from the east half of the Temple community and overflow students from the community of Martingale.</p>",,,public-annie-foote-school,annie-foote-school,/uploads/agent-1/optimized-images/school-logos/public/annie-foote-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Annie Foote School</h3> <p>6320 Temple Dr NE Calgary, AB T1Y 5V5</p><p><strong>Phone Number:</strong> 403-777-6680</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/anniefoote' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/annie-foote-school.webp' alt='Annie Foote School Logo' width='80' height='80' title='Visit Annie Foote School website.'> </a> <div> <p><strong>Grades:</strong>  K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Annie Foote School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Annie Foote School</h4><p>Annie Foote School is a kindergarten to grade six school. The student population is very diverse - 67% of our students are English Language Learners coming from homes where 35 different languages are spoken. For many of our students, English is their third or fourth language. Students who attend our School come to us from the east half of the Temple community and overflow students from the community of Martingale.</p></div></div>"
public,Taradale School,"170 Taravista Dr NE Calgary, AB T3J 5B1",403-777-6270,http://school.cbe.ab.ca/school/taradale,,K to 4,Elementary,Regular,<p>Students at Taradale School are encouraged to uphold the virtue of generosity by supporting one another for building the foundation of a worthy life and achieving academic excellence.</p>,,,public-taradale-school,taradale-school,/uploads/agent-1/optimized-images/school-logos/public/taradale-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Taradale School</h3> <p>170 Taravista Dr NE Calgary, AB T3J 5B1</p><p><strong>Phone Number:</strong> 403-777-6270</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/taradale' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/taradale-school.webp' alt='Taradale School Logo' width='80' height='80' title='Visit Taradale School website.'> </a> <div> <p><strong>Grades:</strong> K to 4</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Taradale School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Taradale School</h4><p>Students at Taradale School are encouraged to uphold the virtue of generosity by supporting one another for building the foundation of a worthy life and achieving academic excellence.</p></div></div>"
public,Ted Harrison School,"215 Taravista Way NE Calgary, AB T3J 4L1",403-817-3330,http://school.cbe.ab.ca/school/TedHarrison/,,5 to 9,Middle,Regular,"<p>A world class learning community, Ted Harrison School is driven by the ethics of inclusion, care and academic excellence. Teachers and mentors here are dynamic individuals that are responsive to the unique needs of middle school students.</p>",,,public-ted-harrison-school,ted-harrison-school,/uploads/agent-1/optimized-images/school-logos/public/ted-harrison-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Ted Harrison School</h3> <p>215 Taravista Way NE Calgary, AB T3J 4L1</p><p><strong>Phone Number:</strong> 403-817-3330</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/TedHarrison/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/ted-harrison-school.webp' alt='Ted Harrison School Logo' width='80' height='80' title='Visit Ted Harrison School website.'> </a> <div> <p><strong>Grades:</strong> 5 to 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Ted Harrison School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Ted Harrison School</h4><p>A world class learning community, Ted Harrison School is driven by the ethics of inclusion, care and academic excellence. Teachers and mentors here are dynamic individuals that are responsive to the unique needs of middle school students.</p></div></div>"
public,Guy Weadick School,"5612 Templehill Rd NE Calgary, AB T1Y 4W7", 403-777-6740,http://school.cbe.ab.ca/school/GuyWeadick/,,K to 6,Elementary,Regular,"<p>Guy Weadick School offers a positive and supportive learning environment where everyone is committed to offering the right opportunities for the students to evolve into joyful, empathetic and engaged learners and responsible citizens of the society.</p>",,,public-guy-weadick-school,guy-weadick-school,/uploads/agent-1/optimized-images/school-logos/public/guy-weadick-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Guy Weadick School</h3> <p>5612 Templehill Rd NE Calgary, AB T1Y 4W7</p><p><strong>Phone Number:</strong>  403-777-6740</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/GuyWeadick/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/guy-weadick-school.webp' alt='Guy Weadick School Logo' width='80' height='80' title='Visit Guy Weadick School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Guy Weadick School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Guy Weadick School</h4><p>Guy Weadick School offers a positive and supportive learning environment where everyone is committed to offering the right opportunities for the students to evolve into joyful, empathetic and engaged learners and responsible citizens of the society.</p></div></div>"
public,Vista Heights School,"2411 Vermilion St NE Calgary, AB T2E 6J3",403-777-6000,http://school.cbe.ab.ca/school/VistaHeights,,K to 6,Elementary,Regular,<p>Vista Height School takes pride in the rich diversity of its learning environment where a small student population facilitates the building of a cosy and caring family atmosphere. The school offers a full-day Kindergarten program for the students residing in Vista Heights.</p>,,,public-vista-heights-school,vista-heights-school,/uploads/agent-1/optimized-images/school-logos/public/vista-heights-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Vista Heights School</h3> <p>2411 Vermilion St NE Calgary, AB T2E 6J3</p><p><strong>Phone Number:</strong> 403-777-6000</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/VistaHeights' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/vista-heights-school.webp' alt='Vista Heights School Logo' width='80' height='80' title='Visit Vista Heights School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Vista Heights School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Vista Heights School</h4><p>Vista Height School takes pride in the rich diversity of its learning environment where a small student population facilitates the building of a cosy and caring family atmosphere. The school offers a full-day Kindergarten program for the students residing in Vista Heights.</p></div></div>"
public,Colonel J. Fred Scott School,"171 Whitehorn Rd NE Calgary, AB T1Y 3C4",403-777-6710,http://school.cbe.ab.ca/school/ColonelJFredScott/,,K to 6,Elementary,Regular,<p>Colonel J. Fred Scott School offers a unique culturally diverse learning environment where students from different demographics and ethnicities can come together and get enriched with the understanding of other cultures.</p>,,,public-colonel-j-fred-scott-school,colonel-j-fred-scott-school,/uploads/agent-1/optimized-images/school-logos/public/colonel-j-fred-scott-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Colonel J. Fred Scott School</h3> <p>171 Whitehorn Rd NE Calgary, AB T1Y 3C4</p><p><strong>Phone Number:</strong> 403-777-6710</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/ColonelJFredScott/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/colonel-j-fred-scott-school.webp' alt='Colonel J. Fred Scott School Logo' width='80' height='80' title='Visit Colonel J. Fred Scott School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Colonel J. Fred Scott School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Colonel J. Fred Scott School</h4><p>Colonel J. Fred Scott School offers a unique culturally diverse learning environment where students from different demographics and ethnicities can come together and get enriched with the understanding of other cultures.</p></div></div>"
public,Dr. Roberta Bondar School,"1580 Strathcona Dr SW Calgary, AB T3H 4R8",403-817-3564,http://school.cbe.ab.ca/school/DrRobertaBondar,,K-6,Elementary,Regular,"<p>Dr. Roberta Bondar School emphasizes the importance of coming together as a community to ensure guaranteed success for each of the students. The school encourages the parents, students and the staff members to work together in a collaborative learning environment.</p>",,,public-dr-roberta-bondar-school,dr-roberta-bondar-school,/uploads/agent-1/optimized-images/school-logos/public/dr-roberta-bondar-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Dr. Roberta Bondar School</h3> <p>1580 Strathcona Dr SW Calgary, AB T3H 4R8</p><p><strong>Phone Number:</strong> 403-817-3564</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/DrRobertaBondar' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/dr-roberta-bondar-school.webp' alt='Dr. Roberta Bondar School Logo' width='80' height='80' title='Visit Dr. Roberta Bondar School website.'> </a> <div> <p><strong>Grades:</strong> K-6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Dr. Roberta Bondar School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Dr. Roberta Bondar School</h4><p>Dr. Roberta Bondar School emphasizes the importance of coming together as a community to ensure guaranteed success for each of the students. The school encourages the parents, students and the staff members to work together in a collaborative learning environment.</p></div></div>"
public,Vincent Massey School,"939 45 St SW Calgary, AB T3C 2B9",403-777-7870,http://school.cbe.ab.ca/school/VincentMassey/,, 7 - 9,Junior,Regular,"<p>The major priority of the teachers at Vincent Massey School is to provide each of the students with the opportunity to evolve academically, emotionally, socially and physically by means of real life experiences and their unique citizenship programs.</p>",,,public-vincent-massey-school,vincent-massey-school,/uploads/agent-1/optimized-images/school-logos/public/vincent-massey-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Vincent Massey School</h3> <p>939 45 St SW Calgary, AB T3C 2B9</p><p><strong>Phone Number:</strong> 403-777-7870</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/VincentMassey/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/vincent-massey-school.webp' alt='Vincent Massey School Logo' width='80' height='80' title='Visit Vincent Massey School website.'> </a> <div> <p><strong>Grades:</strong>  7 - 9</p><p><strong>Type:</strong> Junior</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Vincent Massey School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Vincent Massey School</h4><p>The major priority of the teachers at Vincent Massey School is to provide each of the students with the opportunity to evolve academically, emotionally, socially and physically by means of real life experiences and their unique citizenship programs.</p></div></div>"
public,Ernest Manning High School,"20 Springborough Blvd SW Calgary, AB T3H 0N7",403-249-3131,http://school.cbe.ab.ca/school/ernestmanning,,12-Oct,Senior,"Regular, Advanced Placement (AP), Dual Credit, Off-Campus Work Experience","<p>Often referred to as the EM High, Ernest Manning High School is well known for having a long standing history of preparing great leaders of tomorrow. Students may enroll for a number of programs including outdoor leadership, cosmetology, culinary arts, Advanced Placement, pre-engineering and more.</p>",,,public-ernest-manning-high-school,ernest-manning-high-school,/uploads/agent-1/optimized-images/school-logos/public/ernest-manning-high-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Ernest Manning High School</h3> <p>20 Springborough Blvd SW Calgary, AB T3H 0N7</p><p><strong>Phone Number:</strong> 403-249-3131</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/ernestmanning' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/ernest-manning-high-school.webp' alt='Ernest Manning High School Logo' width='80' height='80' title='Visit Ernest Manning High School website.'> </a> <div> <p><strong>Grades:</strong> 10 - 12</p><p><strong>Type:</strong> Senior</p><p><strong>Programs:</strong> Regular, Advanced Placement (AP), Dual Credit, Off-Campus Work Experience</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Ernest Manning High School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Ernest Manning High School</h4><p>Often referred to as the EM High, Ernest Manning High School is well known for having a long standing history of preparing great leaders of tomorrow. Students may enroll for a number of programs including outdoor leadership, cosmetology, culinary arts, Advanced Placement, pre-engineering and more.</p></div></div>"
public,Olympic Heights School,"875 Strathcona Dr SW Calgary, AB T3H 2Z7",403-777-8370,http://school.cbe.ab.ca/school/OlympicHeights/,,K to 6,Elementary, Regular,"<p>At Olympic Heights School, all the 750 students from Kindergarten to Grade 6 can access a variety of learning programs including a special music program, French as a Second Language, a Physical Education program and more.</p>",,,public-olympic-heights-school,olympic-heights-school,/uploads/agent-1/optimized-images/school-logos/public/olympic-heights-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Olympic Heights School</h3> <p>875 Strathcona Dr SW Calgary, AB T3H 2Z7</p><p><strong>Phone Number:</strong> 403-777-8370</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/OlympicHeights/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/olympic-heights-school.webp' alt='Olympic Heights School Logo' width='80' height='80' title='Visit Olympic Heights School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong>  Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Olympic Heights School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Olympic Heights School</h4><p>At Olympic Heights School, all the 750 students from Kindergarten to Grade 6 can access a variety of learning programs including a special music program, French as a Second Language, a Physical Education program and more.</p></div></div>"
public,Wildwood School,"120 45 Street SW Calgary, AB T3C 2B3",403-777-8430,http://school.cbe.ab.ca/school/Wildwood,,K to 6,Elementary, Regular,<p>Wildwood School bears the distinction of being one of the few schools that represent students speaking atleast 45 different languages. Students here are encouraged to learn the virtues of acceptance and empathy for the others around them and develop basic life skills.</p>,,,public-wildwood-school,wildwood-school,/uploads/agent-1/optimized-images/school-logos/public/wildwood-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Wildwood School</h3> <p>120 45 Street SW Calgary, AB T3C 2B3</p><p><strong>Phone Number:</strong> 403-777-8430</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/Wildwood' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/wildwood-school.webp' alt='Wildwood School Logo' width='80' height='80' title='Visit Wildwood School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong>  Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Wildwood School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Wildwood School</h4><p>Wildwood School bears the distinction of being one of the few schools that represent students speaking atleast 45 different languages. Students here are encouraged to learn the virtues of acceptance and empathy for the others around them and develop basic life skills.</p></div></div>"
public,West Springs School,"8999 Wentworth Ave SW Calgary, AB T3H 0P7",403-777-6244,http://school.cbe.ab.ca/school/westsprings,,K-4,Elementary, Regular,"<p>Certified as a 'LEED' building with a silver status, the West Springs School features high environmental standards for energy conservation by means of hi-tech water management, heating and electrical systems and motion sensors for toilets, lights as well as ambient room heating.</p>",,,public-west-springs-school,west-springs-school,/uploads/agent-1/optimized-images/school-logos/public/west-springs-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>West Springs School</h3> <p>8999 Wentworth Ave SW Calgary, AB T3H 0P7</p><p><strong>Phone Number:</strong> 403-777-6244</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/westsprings' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/west-springs-school.webp' alt='West Springs School Logo' width='80' height='80' title='Visit West Springs School website.'> </a> <div> <p><strong>Grades:</strong> K-4</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong>  Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about West Springs School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About West Springs School</h4><p>Certified as a 'LEED' building with a silver status, the West Springs School features high environmental standards for energy conservation by means of hi-tech water management, heating and electrical systems and motion sensors for toilets, lights as well as ambient room heating.</p></div></div>"
public,West Ridge School,"8903 Wentworth Ave. SW Calgary, AB T3H 5N9",403-817-3552,http://school.cbe.ab.ca/school/WestRidge,,9-May,Middle, Regular,"<p>Originally built to cater to the educational needs of the Cougar Ridge and West Springs communities, the West Ridge School combines the names of the two neighbourhoods and accepts students from Grade 5 through 9.</p>",,,public-west-ridge-school,west-ridge-school,/uploads/agent-1/optimized-images/school-logos/public/west-ridge-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>West Ridge School</h3> <p>8903 Wentworth Ave. SW Calgary, AB T3H 5N9</p><p><strong>Phone Number:</strong> 403-817-3552</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/WestRidge' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/west-ridge-school.webp' alt='West Ridge School Logo' width='80' height='80' title='Visit West Ridge School website.'> </a> <div> <p><strong>Grades:</strong> 5 - 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong>  Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about West Ridge School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About West Ridge School</h4><p>Originally built to cater to the educational needs of the Cougar Ridge and West Springs communities, the West Ridge School combines the names of the two neighbourhoods and accepts students from Grade 5 through 9.</p></div></div>"
public,Griffith Woods School,"7652 26 Ave SW Calgary, AB T3H 3X2",403-817-3572,http://school.cbe.ab.ca/school/griffithwoods,,K to 9,Elementary/Junior, Regular,"<p>Teachers and mentor at Griffith Woods School believe in the importance of strong communication between school and home. As such, they make use of various online tools, School Messenger and classroom agendas in a bid to share relevant information with the parents.</p>",,,public-griffith-woods-school,griffith-woods-school,/uploads/agent-1/optimized-images/school-logos/public/griffith-woods-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Griffith Woods School</h3> <p>7652 26 Ave SW Calgary, AB T3H 3X2</p><p><strong>Phone Number:</strong> 403-817-3572</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/griffithwoods' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/griffith-woods-school.webp' alt='Griffith Woods School Logo' width='80' height='80' title='Visit Griffith Woods School website.'> </a> <div> <p><strong>Grades:</strong> K to 9</p><p><strong>Type:</strong> Elementary/Junior</p><p><strong>Programs:</strong>  Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Griffith Woods School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Griffith Woods School</h4><p>Teachers and mentor at Griffith Woods School believe in the importance of strong communication between school and home. As such, they make use of various online tools, School Messenger and classroom agendas in a bid to share relevant information with the parents.</p></div></div>"
